  **Date**,      **Reference**, **Volume**,  **¤**,     **GBP**, **GO**
2022/01/27,    EVL Web3.0 Mandate,   2400.00,    USD,     1793.16, ✔
2022/02/28, EVL Web3.0 Brief,   2400.00,    USD,     1790.00, ✔
