Date,Details,Debit,Credit,Balance (GBP)
,Funds Deposited,,67000.00,67000.00
01-04-19,Interest Policy Begins,,,67000.00
01-04-20,Interest (1.66% APR),,1115.25,68115.25
01-04-21,Interest (1.66% APR),,1130.71,69245.96
23-05-21,Interest to Date ....,,163.76,69409.72
