  **Date**,  **Annex ID**,           **Reference**, **Volume**, **¤**,    **BTC**, **Go**
2022/05/28,  :ref:`QUO-04011`, NACAS Conference,   2500,   USD ,  0.087151,  ✓
2022/05/28,  :ref:`QUO-04021`, June - Terms A,   4000,   USD ,  0.139442,  ✓

