   **Annex ID**,     **Description**, **PDF**, **SVG**, **PNG**
:ref:`RCT-02013`, Project Mandate 1of2,`link(31.9kb) <https://wayback.datro.xyz/2022-02-02_consortium-finance_funding-salesevl_en_rct-02013_v0-0-0.pdf>`__  , `link(97.4kb) <https://library.datro.xyz/consortium_finance/funding_salesevl/latest/build/html/en/_static/custom/img/2022-02-02_rct-02013_en_v0-0-0.svg>`__   ,  `link(44.5kb) <https://library.datro.xyz/consortium_finance/funding_salesevl/latest/build/html/en/_static/custom/img/2022-02-02_rct-02013_en_v0-0-0.png>`__
:ref:`RCT-02023`, Project Mandate 2of2,`link(31.9kb) <https://wayback.datro.xyz/2022-03-10_consortium-finance_funding-salesevl_en_rct-02023_v0-0-0.pdf>`__  ,	`link(97.4kb) <https://library.datro.xyz/consortium_finance/funding_salesevl/latest/build/html/en/_static/custom/img/2022-03-10_rct-02023_en_v0-0-0.svg>`__  ,  `link(44.5kb) <https://library.datro.xyz/consortium_finance/funding_salesevl/latest/build/html/en/_static/custom/img/2022-03-10_rct-02023_en_v0-0-0.png>`__
