Date,Details,Debit,Credit,Balance (GBP)
01-06-13,Funds Deposited,,5000.00,5000.00
01-04-19,Interest Policy Begins,,,5000.00
01-04-20,Interest (16.6% APR),,832.27,5832.27
01-04-21,Interest (16.6% APR),,968.16,6800.43
09-05-21,Interest to Date ....,,117.53,6917.96
