  **Date**,  **Annex ID**,         **Reference**, **Volume**, **¤**,     **GBP**, **Go**
2021/07/01, :ref:`QUO-0011`,  Element/Matrix VPS,    2500.00,   USD,     1816.52,  ✔
2021/08/30, :ref:`QUO-0031`, Hardware (x7 Pi4's),    1750.00,   USD,     1272.03,  ✔
2021/10/18, :ref:`QUO-0041`, Hardware (UpBoards),    1000.00,   USD,      728.39,  ✔
2021/11/14, :ref:`QUO-0052`, 33% Mandate/Brief,    3750.00,    USD,     2795.66,
2021/12/14, :ref:`QUO-0062`, 33% Plan&Execute,     3750.00,    USD,     2839.61,
