**Date**, **Description**, **PDF**, **SVG**, **PNG**
2021-04-16, Origional Map - Remastered,`link(19kb) <https://datro.xyz/static/library/consortium_campuses/campus4_sitesurvey/latest/build/html/en/_static/2021-04-16_origional-map.pdf>`__  , `link(36kb) <https://datro.xyz/static/library/consortium_campuses/campus4_sitesurvey/latest/build/html/en/_static/2021-04-16_origional-map.svg>`__ ,
2019-07-31, Sotherby's Market Analysis, `link(5.3mb) <https://datro.xyz/static/library/consortium_campuses/campus4_sitesurvey/latest/build/html/en/_static/2019-07-31_sotherbys-market-analysis.pdf>`__  , ,
2017-07-24, Certificate of Title: 2488.70m2, , , `link(860kb) <https://datro.xyz/static/library/consortium_campuses/campus4_sitesurvey/latest/build/html/en/_static/2017-07-24_certificate_2488_70.png>`__ 
2010-08-13, Certificate of Title: 2088.47m2, , , `link(1.4mb) <https://datro.xyz/static/library/consortium_campuses/campus4_sitesurvey/latest/build/html/en/_static/2010-08-13_certificate_2088_47.png>`__ 
2010-08-13, Certificate of Title: 2038.77m2, , , `link(173kb) <https://datro.xyz/static/library/consortium_campuses/campus4_sitesurvey/latest/build/html/en/_static/2010-08-13_certificate_2038_77.png>`__ 
2010-08-13, Certificate of Title: 1749.00m2, , , `link(173kb) <https://datro.xyz/static/library/consortium_campuses/campus4_sitesurvey/latest/build/html/en/_static/2010-08-13_certificate_1749_00.png>`__ 
2009-11-19, Certificate of Title: 1154.00m2, , , `link(173kb) <https://datro.xyz/static/library/consortium_campuses/campus4_sitesurvey/latest/build/html/en/_static/2010-08-13_certificate_1154_00.png>`__ 
2010-08-13, Certificate of Title: 4068.61m2, , , `link(1.4mb) <https://datro.xyz/static/library/consortium_campuses/campus4_sitesurvey/latest/build/html/en/_static/2010-08-13_certificate_4068_61.png>`__ 
