**Archive Date**, **Version**,  **Description**, **Download Link**
2021-05-08, 0.0.1, see releasenotes, `2021-05-02_campus1_v0.0.1.pdf <https://datro.world/wayback/2021-05-02_consortium_campus-sitesurvey_jamhighland_v0.0.1.pdf>`__
2021-04-15, 0.0.0, see releasenotes, `2021-04-13_campus1_v0.0.0.pdf <https://datro.world/wayback/2021-04-13_datro-consortium-campus_v0.0.0.pdf>`__
