**Annex ID**   , **Description**, **PDF**, **SVG**, **PNG**
:ref:`QUO-0091`,   Business Case, `link(31.9kb) <https://wayback.datro.xyz/2021-12-27_consortium_finance-funding_salesfvr_en_quo-0091_v0-0-1.pdf>`__ , `link(97.4kb) <https://library.datro.xyz/consortium_finance/funding_salesfvr/latest/build/html/en/_static/custom/img/2021-12-27_quo-0091_en_0-0-1.svg>`__ , `link(44.5kb) <https://library.datro.xyz/consortium_finance/funding_salesfvr/latest/build/html/en/_static/custom/img/2021-12-27_quo-0091_en_0-0-1.png>`__ 
:ref:`INV-0092`,   Business Case, `link(31.9kb) <https://wayback.datro.xyz/2021-12-28_consortium_finance-funding_salesfvr_en_inv-0092_v0-0-0.pdf>`__ , `link(97.4kb) <https://library.datro.xyz/consortium_finance/funding_salesfvr/latest/build/html/en/_static/custom/img/2021-12-28_inv-0092_en_0-0-0.svg>`__ , `link(97.4kb) <https://library.datro.xyz/consortium_finance/funding_salesfvr/latest/build/html/en/_static/custom/img/2021-12-28_inv-0092_en_0-0-0.png>`__ 
