**Date**, **Version**, **Subject**, **Description**
2021-05-01, 0.0.3, LOT Scheme, `LOT Scheme Membership needs updating - Their records are now outdated`
2021-04-29, 0.0.3, Signatures, `White background on signatures looks bad on html view - fixed - see changelog notes`
