Date,Details,Debit,Credit,Balance (GBP)
20-02-12,WIT Coin Purchase,,4000.00,4000.00
28-12-12,WIT Coin Interest (10% APR),,341.92,4341.92
28-12-13,WIT Coin Interest (10% APR),,434.19,4776.11
19-08-14,WIT Coin Purchase,,865.13,4865.13
28-12-14,WIT Coin Interest (10% APR),,508.66,5373.79
28-12-15,WIT Coin Interest (10% APR),,537.38,5911.17
28-12-16,WIT Coin Interest (10% APR),,591.12,6502.29
18-12-17,WIT Coin Purchase,,190.00,6692.29
28-12-17,WIT Coin Interest (10% APR),,650.75,7343.04
28-12-18,WIT Coin Interest (10% APR),,734.30,8077.34
25-08-19,Interest to Date ....,,531.11,8608.45
