Date,Details,Debit,Credit,Balance (GBP)
28/2/13,WRT Coin Purchase,,200.00,200.00
28/3/13,WRT Coin Purchase,,200.00,400.00
29/4/13,WRT Coin Purchase,,200.00,600.00
28/5/13,WRT Coin Purchase,,200.00,800.00
1/7/13,WRT Coin Purchase,,200.00,1000.00
29/7/13,WRT Coin Purchase,,200.00,1200.00
29/8/13,WRT Coin Purchase,,200.00,1400.00
30/9/13,WRT Coin Purchase,,200.00,1600.00
29/10/13,WRT Coin Purchase,,200.00,1800.00
28/11/13,WRT Coin Purchase,,200.00,2000.00
14/3/19,WRT Coin Purchase,,600.00,2600.00
