**Date**, **Description**, **Document (PDF)**, **Image (SVG)**
2019-07-31, Sotherby Analysis, `download(5.3mb) <https://datro.xyz/static/library/datro-consortium/consortium-campus/latest/build/html/_static/2019-07-31_sotherbys-market-analysis.pdf>`__  ,
2020-06-06, General Plan, `download(19kb) <https://datro.xyz/static/library/datro-consortium/consortium-campus/latest/build/html/_static/2020-06-06_general-plan.pdf>`__  , `download(36kb) <https://datro.xyz/static/library/datro-consortium/consortium-campus/latest/build/html/_static/2020-06-06_general-plan.svg>`__
