       **Date**, **Annex ID**,   **Volume**,    **¤**,        **GBP**, **Bal (£)**
     2022/01/27,:ref:`INV-0072`,      1200.00,      USD,       896.58, 896.58
               ,               ,             ,         ,               ,
               ,               ,             ,         ,    **Balance**,**896.58**
