  **Date**,      **Reference**, **Volume**,  **¤**,     **GBP**, **GO**
2022/01/25, EL Web3.0 Whitepaper,   2400.00,    USD,     1776.53, 
2022/01/27,    EL Web3.0 Mandate,   2400.00,    USD,     1793.16, ✔
