Date,Details,Debit,Credit,Balance (GBP)
28-12-12,Funds Deposited,,5000.00,5000.00
28-11-13,Funds Withdrawn,500,,4500.00
01-04-19,Interest Policy Begins,,,4500.00
01-04-20,Interest (1.66% APR),,74.90,4574.90
01-04-21,Interest (1.66% APR),,75.94,4650.85
25-05-21,Interest to Date ....,,11.42,4662.27
