Date,Details,Debit,Credit,Balance (GBP)
09-07-12,WIT Coin Purchase,,70.00,70.00
09-11-12,WIT Coin Purchase,,2000.00,2070.00
28-12-12,WIT Coin Interest (10% APR),,30.15,2100.15
28-12-13,WIT Coin Interest (10% APR),,210.01,2310.16
28-12-14,WIT Coin Interest (10% APR),,231.02,2541.18
25-08-15,WIT Coin Purchase,,12.00,2553.18
16-09-15,WIT Coin Purchase,,30.00,2583.18
28-12-15,WIT Coin Interest (10% APR),,1.26,2584.44
28-12-16,WIT Coin Interest (10% APR),,258.44,2842.88
22-11-17,WIT Coin Purchase,,189.49,3032.37
28-12-17,WIT Coin Interest (10% APR),,1.87,3034.24
05-02-18,WIT Coin Purchase,,30.00,3064.24
15-05-18,WIT Coin Purchase,,150.00,3214.24
20-06-18,WIT Coin Purchase,,50.00,3264.24
17-07-18,WIT Coin Purchase,,50.00,3314.24
01-08-18,WIT Coin Purchase,,50.00,3364.24
13-08-18,WIT Coin Purchase,,40.00,3404.24
15-11-18,WIT Coin Purchase,,20.00,3424.24
16-11-18,WIT Coin Purchase,,20.00,3444.24
28-12-18,WIT Coin Interest (10% APR),,20.88,3465.12
28-12-19,WIT Coin Interest (10% APR),,346.51,3811.63
07-05-21,Interest to Date ....,,517.96,4329.59
