Date,Details,Debit,Credit,Balance (GBP)
,Funds Deposited,,900.00,900.00
01-04-19,Interest Policy Begins,,0.00,900.00
01-04-20,Interest (1.66% APR),,14.98,914.98
01-04-21,Interest (1.66% APR),,15.19,930.17
25-05-21,Interest to Date ....,,2.28,932.45
