Date,Details,Debit,Credit,Balance (GBP)
08-08-18,Funds Deposited,,500.00,500.00
15-08-18,Funds Deposited,,500.00,1000.00
03-09-18,Funds Deposited,,500.00,1500.00
14-09-18,Funds Deposited,,180.00,1680.00
28-12-18,Interest Accrued (1% APR),,5.90,1685.90
28-12-19,Interest Accrued (1% APR),,16.86,1702.76
28-12-20,Interest Accrued (1% APR),,17.07,1719.83
23-05-21,Interest to Date ....,,6.88,1726.71
