version, size, description, download link
0.0.4, 150Mb, modeless (10.0.0.x), https://mega.nz/#!YbpRgIKS!GEpuU9cKBb2Ef0SaEXsjgkXiZDcnIwBwt7lH-fQRA-A
0.0.2, 2Gb, proof-of-concept (10.0.0.x), https://mega.nz/#!8HwW1JKZ!Hs1HQCEKzNIabAGGtAZ5t2O9ppSve9canZFbBAcl8v8
