**Date**, **Version**, **Subject**, **Description**
10/03/2022,  0.1.0 , Lease-to-Buy,  Lease-to-Licence (and not the origional but a duplicate)
10/03/2022, 0.1.0, Intellectual Property, IP law prohibits multiple corporate entities  
10/03/2022, 0.1.0, Agent Membership, Subset to stay exclusive to the original platform
