Date,Details,Debit,Credit,Balance (GBP)
09-06-12,Funds Deposited,,6000.00,6000.00
07-09-12,Funds Deposited,,4000.00,10000.00
10-09-12,Funds Deposited,,2000.00,12000.00
14-11-12,Funds Deposited,,3000.00,15000.00
19-11-12,Funds Deposited,,12000.00,27000.00
28-12-12,Interest Accrued (1% APR),,67.89,27067.89
28-12-13,Interest Accrued (1% APR),,270.68,27338.57
30-12-13,Funds Deposited,,3000.00,30338.57
20-04-14,Funds Deposited,,10000.00,40338.57
28-12-14,Interest Accrued (1% APR),,372.26,40710.83
28-12-15,Interest Accrued (1% APR),,407.11,41117.94
28-12-16,Interest Accrued (1% APR),,412.31,41530.25
07-12-17,Funds Deposited,,190.00,41720.25
28-12-17,Interest Accrued (1% APR),,391.52,42111.76
28-12-18,Interest Accrued (1% APR),,421.12,42532.88
28-12-19,Interest Accrued (1% APR),,425.33,42958.21
28-12-20,Interest Accrued (1% APR),,430.76,43388.97
23-05-21,Interest to Date ....,,173.56,43562.52
