**Date**,**Details**,**Debit**,**Credit**,**Balance (GBP)**
NO-DATA,Funds Deposited,,67000.00,67000.00
01-04-19,Interest Policy Begins,,,67000.00
01-04-20,Interest (16.6% APR),,11152.47,78152.47
05-04-21,Interest to Date ....,,13115.48,91267.95
