**Date**,**Details**,**Debit**,**Credit**,**Balance (GBP)**
06-08-13,Funds Deposited,,1000.00,1000.00
10-02-14,Funds Deposited,,2000.00,3000.00
01-04-19,Interest Policy Begins,,,3000.00
01-04-20,Interest (16.6% APR),,499.36,3499.36
05-04-21,Interest to Date ....,,587.26,4086.62
