**Date**,**Details**,**Debit**,**Credit**,**Balance (GBP)**
21-11-12,Funds Deposited,,300.00,300.00
01-04-19,Interest Policy Begins,,,300.00
05-04-21,Interest (16.6% APR),,100.28,400.28
