**Date**,**Details**,**Debit**,**Credit**,**Balance (GBP)**
21-12-12,Funds Deposited,,2000.00,2000.00
31-12-12,Funds Deposited,,6000.00,8000.00
01-04-19,Interest Policy Begins,,,8000.00
05-04-21,Interest (16.6% APR),,2674.19,10674.19
