**Date**,**Details**,**Debit**,**Credit**,**Balance (GBP)**
08-08-13,Funds Deposited,,2000.00,2000.00
19-12-13,Funds Deposited,,500,2500.00
27-03-14,Funds Deposited,,500,3000.00
01-04-19,Interest Policy Begins,,,3000.00
05-04-21,Interest (16.6% APR),,1002.82,4002.82
