**Date**,**Details**,**Debit**,**Credit**,**Balance (GBP)**
28-11-14,Funds Deposited,,74000.00,74000.00
01-04-19,Interest Policy Begins,,,74000.00
05-04-21,Interest (16.6% APR),,24736.27,98736.27
