**Date**,**Details**,**Debit**,**Credit**,**Balance (GBP)**
NO-DATA,Funds Deposited,,900.00,900.00
01-04-19,Interest Policy Begins,,,900.00
01-04-20,Interest (16.6% APR),,149.81,1049.81
05-04-21,Interest to Date ....,,176.18,1225.99
