**Date**,**Details**,**Debit**,**Credit**,**Balance (GBP)**
01-02-13,Funds Deposited,,100.00,100.00
01-04-19,Interest Policy Begins,,,100.00
05-04-21,Interest (16.6% APR),,33.43,133.43
