**Date**,**Details**,**Debit**,**Credit**,**Balance (GBP)**
07-03-13,Funds Deposited,,5000.00,5000.00
01-04-19,Interest Policy Begins,,,5000.00
01-04-20,Interest (16.6% APR),,832.27,5832.27
05-04-21,Interest to Date ....,,978.77,6811.04
