**Date**,**Details**,**Debit**,**Credit**,**Balance (GBP)**
14-01-14,Funds Deposited,,1000.00,1000.00
01-04-19,Interest Policy Begins,,,1000.00
01-04-20,Interest (16.6% APR),,166.45,1166.45
05-04-21,Interest to Date ....,,195.75,1362.21
