  **Date**,         **ID**,       **Reference**,  **Volume**,  **¤**,  **GBP**
2022/01/27,:ref:`INV-0072`, Mandate 1 of 2,     1200.00,    USD,  896.58
2022/02/28,:ref:`INV-02022`, Mandate 2 of 2,     1200.00,    USD,  899.28
