Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,3000.00,3000.00
16-01-19,Deposit,,50.00,3050.00
16-02-19,Deposit,,50.00,3100.00
16-03-19,Deposit,,50.00,3150.00
16-04-19,Deposit,,50.00,3200.00
16-05-19,Deposit,,50.00,3250.00
16-06-19,Deposit,,50.00,3300.00
16-07-19,Deposit,,50.00,3350.00
16-08-19,Deposit,,50.00,3400.00
16-09-19,Deposit,,50.00,3450.00
16-10-19,Deposit,,50.00,3500.00
16-11-19,Deposit,,50.00,3550.00
16-12-19,Deposit,,50.00,3600.00
28-12-19,WIN (22.5% APR),,706.25,4306.25
