Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,2000.00,2000.00
16-01-19,Deposit,,50.00,2050.00
16-02-19,Deposit,,50.00,2100.00
16-03-19,Deposit,,50.00,2150.00
16-04-19,Deposit,,50.00,2200.00
16-05-19,Deposit,,50.00,2250.00
16-06-19,Deposit,,50.00,2300.00
16-07-19,Deposit,,50.00,2350.00
16-08-19,Deposit,,50.00,2400.00
16-09-19,Deposit,,50.00,2450.00
16-10-19,Deposit,,50.00,2500.00
16-11-19,Deposit,,50.00,2550.00
16-12-19,Deposit,,50.00,2600.00
28-12-19,WIN (22.5% APR),,492.97,3092.97
