Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,44701.91,44701.91
16-01-19,Deposit,,50.00,44751.91
16-02-19,Deposit,,50.00,44801.91
16-03-19,Deposit,,50.00,44851.91
16-04-19,Deposit,,50.00,44901.91
16-05-19,Deposit,,50.00,44951.91
16-06-19,Deposit,,50.00,45001.91
16-07-19,Deposit,,50.00,45051.91
16-08-19,Deposit,,50.00,45101.91
16-09-19,Deposit,,50.00,45151.91
16-10-19,Deposit,,50.00,45201.91
16-11-19,Deposit,,50.00,45251.91
16-12-19,Deposit,,50.00,45301.91
28-12-19,WIN (22.5% APR),,9600.76,54902.67
