Date,Details,Debit,Credit,Balance (GBP)
29-12-17,WRT Coin Tranfer-In,,10000.00,10000.00
01-01-18,Deposit,,50.00,10050.00
01-02-18,Deposit,,50.00,10100.00
01-03-18,Deposit,,50.00,10150.00
01-04-18,Deposit,,50.00,10200.00
01-05-18,Deposit,,50.00,10250.00
01-06-18,Deposit,,50.00,10300.00
01-07-18,Deposit,,50.00,10350.00
01-08-18,Deposit,,50.00,10400.00
01-09-18,Deposit,,50.00,10450.00
01-10-18,Deposit,,50.00,10500.00
01-11-18,Deposit,,50.00,10550.00
01-12-18,Deposit,,50.00,10600.00
28-12-18,WIN (22.5% APR),,2315.77,12915.77
10-02-19,Interest to Date ....,,350.32,13266.09
