archive date, version,  description, download link
15-05-2018, 0.1.0, Became Make it Wave Ltd, `version-0.1.0.pdf <https://unclehowell.github.io/gh-docs.hotspotbnb.com/management/company-records-agreements-contractual-google-patents/build/html/_static/version-0.1.0.pdf>`__
14-01-2016, 0.0.1, Origional Agreement, `version-0.0.1.pdf <https://unclehowell.github.io/gh-docs.hotspotbnb.com/management/company-records-agreements-contractual-google-patents/build/html/_static/version-0.0.1.pdf>`__

