**Archive Date**, **Version**, **Description**, **Download Link**
2017-01-01, 0.0.3, Business Plan (2016-18), `business-plan.pdf <https://gh-docs.hotspotbnb.com/management/planning-business-plan/0-0-3/build/latex/business-plan.pdf>`__
2016-09-01, 0.0.2, Business Plan (2014-16), `business-plan.pdf <https://gh-docs.hotspotbnb.com/management/planning-business-plan/0-0-2/build/latex/business-plan.pdf>`__ 
