**Archive Date**, **Version**,  **Description**, **Download Link**
2021-05-01, 0.0.2, see releasenotes, `2019-08-26_v0.0.2.pdf <https://datro.world.xyz/wayback/2019-08-26_consortium_agreements-patents_google_v0.0.2.pdf>`__
2019-08-26, 0.0.1, see releasenotes, `2016-01-14_v0.0.1.pdf <https://datro.world.xyz/wayback/2016-01-14_consortium_agreements-patents_google_v0.0.1.pdf>`__
