Date,Details,Debit,Credit,Balance (GBP)
05-03-13,Funds Deposited,,834.00,834.00
05-04-13,Funds Deposited,,834.00,1668.00
16-05-13,Funds Deposited,,400.00,2068.00
23-05-13,Funds Deposited,,300.00,2368.00
06-06-13,Funds Deposited,,300.00,2668.00
20-06-13,Funds Deposited,,532.00,3200.00
04-07-13,Funds Deposited,,250.00,3450.00
19-07-13,Funds Deposited,,272.00,3722.00
01-08-13,Funds Deposited,,278.00,4000.00
08-08-13,Funds Deposited,,250.00,4250.00
15-08-13,Funds Deposited,,250.00,4500.00
04-10-13,Funds Deposited,,300.00,4800.00
05-10-13,Funds Deposited,,200.00,5000.00
24-10-13,Funds Deposited,,200.00,5200.00
15-11-13,Funds Deposited,,1500.00,6700.00
09-12-13,Funds Deposited,,300.00,7000.00
28-12-13,Interest Accrued (10% APR),,305.45,7305.45
24-01-14,Funds Deposited,,250.00,7555.45
04-02-14,Funds Deposited,,250.00,7805.45
03-03-14,Funds Deposited,,250.00,8055.45
06-03-14,Funds Deposited,,250.00,8305.45
17-03-14,Funds Deposited,,200.00,8505.45
20-03-14,Funds Deposited,,300.00,8805.45
25-03-14,Funds Deposited,,500.00,9305.45
27-03-14,Funds Deposited,,800.00,10105.45
27-03-14,Funds Deposited,,200.00,10305.45
29-04-14,Funds Deposited,,2000.00,12305.45
28-12-14,Interest Accrued (10% APR),,1102.76,13408.22
20-03-15,Funds Deposited,,2000.00,15408.22
20-03-15,Funds Deposited,,2000.00,17408.22
23-07-15,Funds Deposited,,1999.00,19407.22
10-05-15,Funds Deposited,,14.90,19422.12
10-08-15,Funds Deposited,,204.90,19627.02
28-12-15,Interest Accrued (10% APR),,1746.30,21373.32
28-12-16,Interest Accrued (10% APR),,2143.19,23516.50
28-12-17,Interest Accrued (10% APR),,2351.65,25868.15
28-12-18,Interest Accrued (10% APR),,2586.82,28454.97
28-12-19,Interest Accrued (10% APR),,2845.50,31300.47
28-12-20,Interest Accrued (10% APR),,3138.62,34439.09
08-05-21,Interest to Date ....,,1236.03,35675.12
