Date,Details,Debit,Credit,Balance (GBP)
28-04-13,Funds Deposited,,8000.00,8000.00
28-04-13,Funds Deposited,,12000.00,20000.00
01-10-13,Funds Deposited,,5000.00,25000.00
28-12-13,Interest Accrued (10% APR),,2474.52,27474.52
28-12-14,Interest Accrued (10% APR),,2747.45,30221.97
28-12-15,Interest Accrued (10% APR),,3022.20,33244.17
28-12-16,Interest Accrued (10% APR),,3324.42,36568.59
05-12-17,Funds Deposited,,190.00,36758.59
28-12-17,Interest Accrued (10% APR),,3658.06,40416.64
28-12-18,Interest Accrued (10% APR),,4041.66,44458.31
28-12-19,Interest Accrued (10% APR),,4445.83,48904.14
28-12-20,Interest Accrued (10% APR),,4903.81,53807.95
08-05-21,Interest to Date ....,,1931.19,55739.14
