Date,Details,Debit,Credit,Balance (GBP)
20-02-12,Funds Deposited,,4000.00,4000.00
28-12-12,Interest Accrued (10% APR),,341.92,4341.92
28-12-13,Interest Accrued (10% APR),,434.19,4776.11
19-08-14,Funds Deposited,,865.13,5641.24
28-12-14,Interest Accrued (10% APR),,508.66,6149.90
28-12-15,Interest Accrued (10% APR),,614.99,6764.89
28-12-16,Interest Accrued (10% APR),,678.34,7443.23
18-12-17,Funds Deposited,,190.00,7633.23
28-12-17,Interest Accrued (10% APR),,744.84,8378.08
28-12-18,Interest Accrued (10% APR),,837.81,9215.88
28-12-19,Interest Accrued (10% APR),,921.59,10137.47
28-12-20,Interest Accrued (10% APR),,1016.52,11154.00
08-05-21,Interest to Date ....,,400.32,11554.32
