Date,Details,Debit,Credit,Balance (GBP)
23-05-14,Funds Deposited,,100.00,100.00
04-08-14,Funds Deposited,,100.00,200.00
14-08-14,Funds Deposited,,100.00,300.00
17-08-14,Funds Deposited,,100.00,400.00
01-09-14,Funds Deposited,,100.00,500.00
04-09-14,Funds Deposited,,50.00,550.00
28-12-14,Interest Accrued (10% APR),,22.18,572.18
09-02-15,Funds Deposited,,150.00,722.18
03-03-15,Funds Deposited,,200.00,922.18
14-03-15,Funds Deposited,,100.00,1022.18
01-06-15,Funds Deposited,,99.90,1122.08
13-06-15,Funds Deposited,,149.90,1271.98
14-07-15,Funds Deposited,,54.90,1326.88
20-08-15,Funds Deposited,,90.00,1416.88
24-08-15,Funds Deposited,,149.90,1566.78
25-08-15,Funds Deposited,,150.00,1716.78
27-08-15,Funds Deposited,,149.90,1866.68
28-08-15,Funds Deposited,,158.00,2024.68
09-09-15,Funds Deposited,,93.00,2117.68
12-09-15,Funds Deposited,,149.90,2267.58
18-09-15,Funds Deposited,,35.00,2302.58
20-09-15,Funds Deposited,,190.00,2492.58
26-09-15,Funds Deposited,,84.00,2576.58
27-09-15,Funds Deposited,,140.00,2716.58
30-09-15,Funds Deposited,,45.00,2761.58
12-10-15,Funds Deposited,,45.00,2806.58
14-10-15,Funds Deposited,,90.00,2896.58
17-10-15,Funds Deposited,,240.00,3136.58
22-10-15,Funds Deposited,,35.00,3171.58
26-10-15,Funds Deposited,,149.90,3321.48
04-11-15,Funds Deposited,,125.00,3446.48
06-11-15,Funds Deposited,,190.00,3636.48
23-11-15,Funds Deposited,,75.00,3711.48
28-12-15,Interest Accrued (10% APR),,171.17,3882.65
28-12-16,Interest Accrued (10% APR),,388.26,4270.91
04-09-17,Funds Deposited,,100.00,4370.91
28-12-17,Interest Accrued (10% APR),,430.24,4801.16
18-05-18,Funds Deposited,,20.00,4821.16
27-06-18,Funds Deposited,,20.00,4841.16
28-12-18,Interest Accrued (10% APR),,244.05,5085.20
01-12-19,Funds Deposited,,49.90,5135.10
07-06-19,Funds Deposited,,50.00,5185.10
28-08-19,Funds Deposited,,100.00,5285.10
28-12-19,Interest Accrued (10% APR),,176.65,5461.76
28-12-20,Interest Accrued (10% APR),,547.67,6009.43
08-05-21,Interest to Date ....,,215.68,6225.11
