**Date**,**Details**,**Debit**,**Credit**,**Balance (GBP)**
29-03-18,Funds Deposited,,1412.50,1412.50
05-12-18,Funds Deposited,,1856.25,3268.75
01-04-19,Interest Policy Begins,,,3268.75
01-04-20,Interest (16.6% APR),,544.10,3812.85
05-04-21,Interest to Date ....,,639.87,4452.72
