  **Date**,    **Annex ID**,       **Reference**,  **Volume**,  **¤**,  **GBP**
2021/07/19, :ref:`RCT-0013`, Element/Matrix(VPS),     2500.00,    USD, 1816.52
2021/08/30, :ref:`RCT-0023`,  OS Project Deposit,     1000.00,    USD,  726.61
2021/10/04, :ref:`RCT-0033`, Hardware (x7 Pi4's),     1750.00,    USD, 1289.63
2021/10/30, :ref:`RCT-0043`, Hardware (UpBoards),     1000.00,    USD,  730.61
