**Date**,**Details**,**Debit**,**Credit**,**Balance (GBP)**
21-01-13,Funds Deposited,,500.00,500.00
01-04-19,Interest Policy Begins,,,500.00
01-04-20,Interest (16.6% APR),,83.23,583.23
05-04-21,Interest to Date ....,,97.88,681.10
