Date,Details,Debit,Credit,Balance (GBP)
08-08-13,Funds Deposited,,2000.00,2000.00
19-12-13,Funds Deposited,,500,2500.00
21-07-14,Funds Deposited,,500,3000.00
01-04-19,Interest Policy Begins,,,3000.00
01-04-20,Interest (16.6% APR),,499.36,3499.36
01-04-21,Interest (16.6% APR),,580.89,4080.26
08-04-21,Interest to Date ....,,12.99,4093.25
