Date,Details,Debit,Credit,Balance (GBP)
11-08-18,Funds Deposited,,400.00,400.00
19-11-18,Funds Deposited,,50,450.00
30-11-18,Funds Deposited,,350,800.00
23-12-18,Funds Deposited,,100,900.00
01-04-19,Interest Policy Begins,,,900.00
01-04-20,Interest (1.66% APR),,14.98,914.98
01-04-21,Interest (1.66% APR),,15.19,930.17
24-05-21,Interest to Date ....,,2.24,932.41
