Date,Details,Debit,Credit,Balance (GBP)
05-03-13,Funds Deposited,,834.00,834.00
05-04-13,Funds Deposited,,834.00,1668.00
16-05-13,Funds Deposited,,400.00,2068.00
23-05-13,Funds Deposited,,300.00,2368.00
06-06-13,Funds Deposited,,300.00,2668.00
20-06-13,Funds Deposited,,532.00,3200.00
04-07-13,Funds Deposited,,250.00,3450.00
19-07-13,Funds Deposited,,272.00,3722.00
01-08-13,Funds Deposited,,278.00,4000.00
08-08-13,Funds Deposited,,250.00,4250.00
15-08-13,Funds Deposited,,250.00,4500.00
04-10-13,Funds Deposited,,300.00,4800.00
05-10-13,Funds Deposited,,200.00,5000.00
24-10-13,Funds Deposited,,200.00,5200.00
15-11-13,Funds Deposited,,1500.00,6700.00
09-12-13,Funds Deposited,,300.00,7000.00
28-12-13,Interest Accrued (1% APR),,30.55,7030.55
24-01-14,Funds Deposited,,250.00,7280.55
04-02-14,Funds Deposited,,250.00,7530.55
03-03-14,Funds Deposited,,250.00,7780.55
06-03-14,Funds Deposited,,250.00,8030.55
17-03-14,Funds Deposited,,200.00,8230.55
20-03-14,Funds Deposited,,300.00,8530.55
25-03-14,Funds Deposited,,500.00,9030.55
27-03-14,Funds Deposited,,800.00,9830.55
27-03-14,Funds Deposited,,200.00,10030.55
29-04-14,Funds Deposited,,2000.00,12030.55
28-12-14,Interest Accrued (1% APR),,107.53,12138.07
20-03-15,Funds Deposited,,2000.00,14138.07
20-03-15,Funds Deposited,,2000.00,16138.07
23-07-15,Funds Deposited,,1999.00,18137.07
10-05-15,Funds Deposited,,14.90,18151.97
10-08-15,Funds Deposited,,204.90,18356.87
28-12-15,Interest Accrued (1% APR),,161.93,18518.80
28-12-16,Interest Accrued (1% APR),,185.70,18704.50
28-12-17,Interest Accrued (1% APR),,187.04,18891.54
28-12-18,Interest Accrued (1% APR),,188.92,19080.46
28-12-19,Interest Accrued (1% APR),,190.80,19271.26
28-12-20,Interest Accrued (1% APR),,193.24,19464.50
23-05-21,Interest to Date ....,,77.86,19542.36
