Date,Details,Debit,Credit,Balance (GBP)
15-07-15,Funds Deposited,,750.00,750.00
15-12-15,Funds Deposited,,750.00,1500.00
28-12-15,Interest Accrued (0.1% APR),,3.68,1503.68
15-07-16,Funds Deposited,,750.00,2253.68
15-12-16,Funds Deposited,,750.00,3003.68
28-12-16,Interest Accrued (0.1% APR),,18.76,3022.43
15-07-17,Funds Deposited,,750.00,3772.43
15-12-17,Funds Deposited,,750.00,4522.43
28-12-17,Interest Accrued (0.1% APR),,33.90,4556.34
15-07-18,Funds Deposited,,750.00,5306.34
15-12-18,Funds Deposited,,750.00,6056.34
28-12-18,Interest Accrued (0.1% APR),,49.24,6105.58
28-12-19,Interest Accrued (0.1% APR),,61.06,6166.63
28-12-20,Interest Accrued (0.1% APR),,61.84,6228.47
Reconciling ...,Funds Deposited,,750.00,6978.47
Reconciling ...,Funds Deposited,,750.00,7728.47
23-05-21,Interest to Date ....,,24.91,7753.38
