Date,Details,Debit,Credit,Balance (GBP)
15-03-16,Funds Deposited,,500.00,500.00
15-07-16,Funds Deposited,,500.00,1000.00
28-12-16,Interest Accrued (0.1% APR),,6.22,1006.22
09-01-17,Funds Deposited,,1000.00,2006.22
28-12-17,Interest Accrued (0.1% APR),,19.73,2025.95
28-12-18,Interest Accrued (0.1% APR),,20.26,2046.21
23-02-19,Funds Deposited,,1000.00,3046.21
28-12-19,Interest Accrued (0.1% APR),,28.90,3075.11
28-12-20,Interest Accrued (0.1% APR),,30.84,3105.95
23-05-21,Interest to Date ....,,12.42,3118.37
