Date,Details,Debit,Credit,Balance (GBP)
23-05-14,Funds Deposited,,100.00,100.00
04-08-14,Funds Deposited,,100.00,200.00
14-08-14,Funds Deposited,,100.00,300.00
17-08-14,Funds Deposited,,100.00,400.00
01-09-14,Funds Deposited,,100.00,500.00
04-09-14,Funds Deposited,,50.00,550.00
28-12-14,Interest Accrued (0.1% APR),,2.22,552.22
09-02-15,Funds Deposited,,150.00,702.22
03-03-15,Funds Deposited,,200.00,902.22
14-03-15,Funds Deposited,,100.00,1002.22
01-06-15,Funds Deposited,,99.90,1102.12
13-06-15,Funds Deposited,,149.90,1252.02
14-07-15,Funds Deposited,,54.90,1306.92
20-08-15,Funds Deposited,,90.00,1396.92
24-08-15,Funds Deposited,,149.90,1546.82
25-08-15,Funds Deposited,,150.00,1696.82
27-08-15,Funds Deposited,,149.90,1846.72
28-08-15,Funds Deposited,,158.00,2004.72
09-09-15,Funds Deposited,,93.00,2097.72
12-09-15,Funds Deposited,,149.90,2247.62
18-09-15,Funds Deposited,,35.00,2282.62
20-09-15,Funds Deposited,,190.00,2472.62
26-09-15,Funds Deposited,,84.00,2556.62
27-09-15,Funds Deposited,,140.00,2696.62
30-09-15,Funds Deposited,,45.00,2741.62
12-10-15,Funds Deposited,,45.00,2786.62
14-10-15,Funds Deposited,,90.00,2876.62
17-10-15,Funds Deposited,,240.00,3116.62
22-10-15,Funds Deposited,,35.00,3151.62
26-10-15,Funds Deposited,,149.90,3301.52
04-11-15,Funds Deposited,,125.00,3426.52
06-11-15,Funds Deposited,,190.00,3616.52
23-11-15,Funds Deposited,,75.00,3691.52
28-12-15,Interest Accrued (0.1% APR),,16.92,3708.44
28-12-16,Interest Accrued (0.1% APR),,37.08,3745.52
04-09-17,Funds Deposited,,100.00,3845.52
28-12-17,Interest Accrued (0.1% APR),,37.77,3883.29
18-05-18,Funds Deposited,,20.00,3903.29
27-06-18,Funds Deposited,,20.00,3923.29
28-12-18,Interest Accrued (0.1% APR),,39.06,3962.35
01-12-19,Funds Deposited,,49.90,4012.25
07-06-19,Funds Deposited,,50.00,4062.25
28-08-19,Funds Deposited,,100.00,4162.25
28-12-19,Interest Accrued (0.1% APR),,40.27,4202.52
28-12-20,Interest Accrued (0.1% APR),,42.14,4244.66
23-05-21,Interest to Date ....,,16.98,4261.64
