**Date**, **Version**, **Subject**, **Description**
2021-05-08, 0.0.4, semantic ver, `Used '0.1.x' previously. Correct is '0.0.x'. Using latter moving forward. And former will be referenced as the latter moving forward`
2019-09-01, 0.1.0, bad link, `Shell script had wrong link (so it pulled a wrong record). Fixed it - see notes!`
