archive date, version,  description, download link
2021-05-08, 0.0.4, see releasenotes, `2021-05-08_creditors_v0.0.4.pdf <https://datro.world/wayback/2021-05-08_consortium_finance-funding_creditors_v0.0.4.pdf>`__
2019-12-09, 0.0.3, see releasenotes, `2019-12-09_creditors_v0.0.3.pdf <https://datro.world/wayback/2019-12-09_wave-tokens-wit_v0.1.3.pdf>`__
2019-02-01, 0.0.2, see releasenotes, `2019-02-11_creditors_v0.0.2.pdf <https://datro.world/wayback/2019-02-11_wave-tokens-wit_v0.1.2.pdf>`__
2019-01-17, 0.0.1, see releasenotes, `2019-01-17_creditors_v0.0.1.pdf <https://datro.world/wayback/2019-01-17_wave-organisation-tokens_v0.1.1.pdf>`__
2019-01-09, 0.0.0, see releasenotes, `2019-01-09_creditors_v0.0.0.pdf <https://datro.world/wayback/2019-01-09_wave-organisation-tokens_v0.1.0.pdf>`__
