  **Date**,    **Annex ID**,       **Reference**,  **Volume**,  **¤**,  **BTC**
2022/06/14, :ref:`RCT-04013`, NACAS 2022,        2500,   USD , 0.109993
2022/06/14, :ref:`RCT-04023`, June.(Terms-A),    4000,   USD , 0.175989
