Date,Details,Debit,Credit,Balance (GBP)
13-06-13,Funds Deposited,,500.00,500.00
01-04-19,Interest Policy Begins,,,500.00
01-04-20,Interest (1.66% APR),,8.32,508.32
01-04-21,Interest (1.66% APR),,8.44,516.76
23-05-21,Interest to Date ....,,1.22,517.98
