**Date**,**Details**,**Debit**,**Credit**,**Balance (GBP)**
NO-DATA,Funds Deposited,,500.00,500.00
01-04-19,Interest Policy Begins,,,500.00
05-04-21,Interest (16.6% APR),,167.14,667.14
