**Date**,**Details**,**Debit**,**Credit**,**Balance (GBP)**
NO-DATA,Funds Deposited,,2000.00,2000.00
01-04-19,Interest Policy Begins,,,2000.00
01-04-20,Interest (16.6% APR),,332.91,2332.91
05-04-21,Interest to Date ....,,391.51,2724.42
