**Date**,**Details**,**Debit**,**Credit**,**Balance (GBP)**
02-01-13,Funds Deposited,,1500.00,1500.00
05-11-13,Funds Deposited,,3200.00,4700.00
23-12-13,Funds Deposited,,3000.00,7700.00
01-04-19,Interest Policy Begins,,,7700.00
05-04-21,Interest (16.6% APR),,2573.91,10273.91
