**Date**,**Details**,**Debit**,**Credit**,**Balance (GBP)**
02-01-13,Funds Deposited,,10000.00,10000.00
19-12-13,Funds Deposited,,5000.00,15000.00
01-04-19,Interest Policy Begins,,,15000.00
05-04-21,Interest (16.6% APR),,5014.11,20014.11
