**Date**,**Details**,**Debit**,**Credit**,**Balance (GBP)**
06-02-13,Funds Deposited,,4000.00,4000.00
01-04-19,Interest Policy Begins,,,4000.00
01-04-20,Interest (16.6% APR),,665.82,4665.82
05-04-21,Interest to Date ....,,783.01,5448.83
