**Date**,**Details**,**Debit**,**Credit**,**Balance (GBP)**
01-02-13,Funds Deposited,,5000.00,5000.00
01-04-19,Interest Policy Begins,,,5000.00
05-04-21,Interest (16.6% APR),,1671.37,6671.37
