Date,Details,Debit,Credit,Balance (GBP)
07-03-13,Funds Deposited,,5000.00,5000.00
01-04-19,Interest Policy Begins,,,5000.00
01-04-20,Interest (1.66% APR),,83.23,5083.23
01-04-21,Interest (1.66% APR),,84.38,5167.61
23-05-21,Interest to Date ....,,12.22,5179.83
